session_id,user_id,flight_id,origin,destination,action,relevance,utility_gt,position_shown
S00000000,U00000,FL242272,Mumbai,Chennai,click,1,0.523,0
S00000000,U00000,FL077362,Mumbai,Chennai,book,2,0.5018,1
S00000000,U00000,FL080243,Mumbai,Chennai,click,1,0.7295,2
S00000000,U00000,FL082527,Mumbai,Chennai,ignore,0,0.6493,3
S00000000,U00000,FL241580,Mumbai,Chennai,ignore,0,0.4292,4
S00000000,U00000,FL244765,Mumbai,Chennai,click,1,0.5122,5
S00000000,U00000,FL083725,Mumbai,Chennai,click,1,0.8434,6
S00000000,U00000,FL083699,Mumbai,Chennai,click,1,0.7188,7
S00000000,U00000,FL241717,Mumbai,Chennai,click,1,0.4657,8
S00000000,U00000,FL081996,Mumbai,Chennai,click,1,0.7152,9
S00000000,U00000,FL077385,Mumbai,Chennai,click,1,0.722,10
S00000001,U00000,FL238141,Mumbai,Hyderabad,ignore,0,0.4991,0
S00000001,U00000,FL071475,Mumbai,Hyderabad,click,1,0.7166,1
S00000001,U00000,FL073275,Mumbai,Hyderabad,click,1,0.7334,2
S00000001,U00000,FL075700,Mumbai,Hyderabad,book,2,0.6145,3
S00000001,U00000,FL076498,Mumbai,Hyderabad,ignore,0,0.6867,4
S00000001,U00000,FL240186,Mumbai,Hyderabad,click,1,0.5397,5
S00000001,U00000,FL239731,Mumbai,Hyderabad,ignore,0,0.5222,6
S00000001,U00000,FL072691,Mumbai,Hyderabad,click,1,0.709,7
S00000001,U00000,FL241219,Mumbai,Hyderabad,click,1,0.5342,8
S00000001,U00000,FL071147,Mumbai,Hyderabad,click,1,0.6853,9
S00000002,U00000,FL187716,Chennai,Mumbai,click,1,0.6976,0
S00000002,U00000,FL187570,Chennai,Mumbai,book,2,0.6816,1
S00000002,U00000,FL290862,Chennai,Mumbai,ignore,0,0.4865,2
S00000002,U00000,FL291348,Chennai,Mumbai,ignore,0,0.4705,3
S00000002,U00000,FL291101,Chennai,Mumbai,ignore,0,0.5235,4
S00000002,U00000,FL291183,Chennai,Mumbai,click,1,0.5154,5
S00000002,U00000,FL292157,Chennai,Mumbai,ignore,0,0.5446,6
S00000002,U00000,FL192338,Chennai,Mumbai,click,1,0.7337,7
S00000002,U00000,FL190415,Chennai,Mumbai,click,1,0.685,8
S00000002,U00000,FL191787,Chennai,Mumbai,click,1,0.7222,9
S00000002,U00000,FL190866,Chennai,Mumbai,ignore,0,0.7243,10
S00000002,U00000,FL191643,Chennai,Mumbai,click,1,0.7179,11
S00000003,U00000,FL131829,Kolkata,Mumbai,book,2,0.7415,0
